ID_CORRELATIVO,Predict_ATTRITION
12174,0
49090,0
60617,0
24584,0
70300,1
42687,0
57527,0
70786,0
60622,0
9447,0
26105,1
20590,0
7030,0
9467,0
27133,0
13341,0
53960,0
82068,0
72004,0
46791,0
97387,0
60304,0
99298,0
16915,0
1361,0
59625,0
52396,0
64166,0
28111,0
56421,0
29742,0
12391,0
11304,0
84793,0
54565,0
99403,0
93832,0
13028,0
50662,0
6085,0
83547,0
86267,1
47444,0
90734,0
8019,0
41136,0
20402,0
46231,0
80064,0
84822,0
80361,0
10826,0
39611,0
5273,0
15314,0
39990,0
41437,0
91214,0
50961,0
44124,0
53822,0
41803,0
4546,0
39978,0
58457,0
33510,1
76571,0
12264,0
15491,0
24472,0
82663,0
82537,0
62605,0
56442,0
8486,0
45504,0
53582,0
16278,0
53775,0
9087,0
36880,0
30180,1
74644,0
16254,0
53829,0
53602,0
15546,0
57706,1
35304,0
71452,0
10877,0
64911,0
23215,0
20205,0
29454,0
40159,0
50178,1
42001,0
8143,0
28748,0
88968,0
93973,0
23837,0
33530,0
77643,0
38648,0
221,0
99677,0
69443,0
16791,0
42551,0
82276,0
52340,0
51882,0
69495,0
4207,0
87450,0
82417,0
86020,0
49174,0
58878,0
22015,0
97883,0
22300,0
93411,0
55729,0
22302,0
35629,0
88572,0
96607,0
86853,0
40375,0
35166,0
58240,0
12657,0
23889,0
90927,0
11656,0
30621,0
89329,0
72755,0
35570,0
9104,0
95454,0
13767,0
2636,0
80517,0
67542,0
17446,0
65132,0
67756,0
44590,0
64969,0
79765,0
64570,0
1119,0
51281,0
90672,0
85757,0
43041,0
27486,0
96864,0
40064,0
30155,0
29843,0
50732,0
69856,0
22380,0
77749,0
38596,0
29537,0
71404,0
45871,0
71782,1
83436,0
78327,0
82370,0
98582,0
99901,0
44359,0
45258,0
28548,0
60473,1
17933,0
99071,0
53947,0
56529,0
2749,0
78895,0
99162,0
62975,0
34888,0
57449,1
59034,0
11490,0
25156,0
25084,0
31179,0
43885,0
30036,0
29874,0
86606,0
77567,1
39283,0
61880,0
41971,0
6346,0
5442,0
51903,0
96525,0
56093,0
15261,0
60942,0
48740,0
42397,0
71431,0
6422,0
82802,0
80336,0
51878,0
5205,0
23416,0
67740,0
66721,0
30866,0
81012,0
72685,0
2656,0
25468,0
30728,0
33398,0
52028,0
50143,0
21889,0
7228,0
32444,0
44547,0
81930,0
5469,0
98143,0
58523,0
90006,0
29322,0
24130,0
27067,0
15320,0
80311,0
54644,0
54127,0
52286,0
53506,0
77697,0
95990,0
77393,1
85947,0
69442,0
82634,0
16145,0
96308,0
70548,0
56967,0
64113,0
80634,0
58836,0
11209,0
24461,0
64651,0
30202,0
24504,0
17009,0
89342,0
81942,0
58486,0
15526,0
25535,0
43153,0
77150,0
88710,0
33037,0
67594,0
82141,0
72490,0
8824,0
95613,0
93828,0
94727,0
69161,0
16228,0
3970,0
3260,0
92778,0
33309,0
81974,0
6988,0
63785,0
87049,0
96455,0
29617,0
74505,0
74903,0
41051,1
53913,0
58450,0
11159,0
40062,0
44698,0
54640,0
15819,0
97673,0
89553,0
82109,0
38049,0
66099,0
93859,0
16953,0
79104,0
97363,0
10390,0
62458,0
85105,0
99661,0
96328,0
9118,0
73289,1
96236,0
25941,0
75998,0
87968,0
92001,0
56820,0
35527,0
16239,0
54602,0
23870,0
56017,0
82529,0
15111,0
90295,0
24775,0
14300,0
12198,0
72766,0
16221,0
45832,0
99102,0
30255,0
60439,0
72987,0
10999,0
47388,0
91742,0
64476,0
60013,0
66701,0
17733,0
79764,0
30837,0
77952,0
9843,0
80551,0
8073,0
97652,0
89254,0
28733,0
66517,0
11008,0
72903,0
13311,0
35387,0
30026,0
87044,0
58230,0
44704,0
6630,0
86235,0
17625,0
14578,0
90212,0
19892,0
55850,0
27002,0
38369,0
57438,0
42998,0
47254,0
5875,0
67537,0
81531,0
76383,0
85321,0
88715,0
70769,0
571,0
31702,0
91372,0
48249,0
40546,0
69964,0
59356,0
98836,0
381,0
8254,0
72839,0
4339,0
54234,0
89529,0
92066,0
89875,0
53907,0
95803,0
87578,0
20403,0
20875,0
43012,1
19776,0
27289,0
88355,0
70659,0
76781,0
50160,0
43391,0
61020,0
56865,0
40687,0
19919,1
66160,0
84935,0
54735,0
57769,0
46215,0
66490,0
53578,0
39073,1
18457,0
62873,0
58920,0
98325,0
43685,0
98880,0
17368,0
19831,0
23278,0
31151,0
8235,0
45153,0
67527,1
92994,0
58947,1
40963,0
60778,0
19302,0
21997,0
99751,0
45947,0
41970,0
7849,0
50534,0
15034,0
82142,0
7131,0
6086,0
52299,0
81366,0
63001,0
12093,0
38490,0
29658,0
18269,0
22078,0
64604,0
70167,0
46535,0
71775,0
58435,0
72233,0
5689,0
65063,0
62856,0
5202,0
53659,0
63945,0
62638,0
9896,0
82073,0
71277,0
11341,0
87916,0
50960,0
97368,0
52970,0
17795,0
66707,0
68033,0
57995,0
15801,0
6150,0
11051,0
89326,0
69251,0
72160,0
21635,0
45780,0
8903,0
42698,0
18468,0
11964,0
84304,0
69857,0
20554,0
74820,0
28690,0
82705,0
6909,0
91135,0
65027,0
8353,0
36366,0
2242,0
75251,0
43692,0
90746,0
67863,0
77014,0
55356,0
44250,0
75066,0
37512,0
5504,0
19219,0
55172,0
17030,0
67278,0
79425,0
13360,0
73216,0
61623,0
20487,0
16973,0
70593,1
31987,0
41732,0
83957,0
42419,0
45466,0
45091,0
45073,0
73954,0
59275,0
70009,0
47170,0
87226,0
65610,0
47136,0
68404,0
18129,1
41710,0
49520,0
72617,0
44044,0
97478,0
78326,0
1082,1
22229,0
1596,0
79099,0
15479,1
72768,0
94070,0
56685,0
21199,0
36541,0
98854,0
19253,1
5696,0
1697,0
38393,0
14016,0
25902,0
58331,0
10179,0
5822,0
40897,0
24316,0
46111,0
75312,0
4836,0
49649,0
70422,0
72297,0
44703,0
91069,0
36995,0
89606,0
32761,0
1247,0
15861,1
85109,0
42836,0
67895,0
43987,0
37952,0
38946,0
62254,0
54181,0
33148,0
37172,0
60121,0
70126,0
11339,0
881,0
73770,0
97057,0
55579,0
34530,0
80175,0
78543,0
23785,0
10624,0
55971,0
96813,0
30377,0
68933,0
74450,0
69567,0
60938,1
38280,0
44851,0
49284,0
19078,0
97831,0
44802,0
81552,0
30843,0
54451,0
75095,0
7159,0
69231,0
80164,0
79949,0
75034,0
90005,0
65159,0
89017,0
55400,0
12942,0
12443,0
27510,0
75634,0
47124,0
64000,0
30705,0
63321,0
75945,0
56135,0
30133,0
51747,1
93444,0
28398,0
65215,0
1520,0
33086,1
86243,0
5749,0
31612,0
62631,0
34504,0
17525,0
2393,0
73832,0
42378,0
45884,0
57210,0
42445,0
67218,0
55274,0
16475,0
41124,0
74316,0
40650,0
55910,0
15103,0
49141,0
47260,0
25377,0
51101,0
68791,1
55711,0
90221,0
37209,0
3246,0
53658,0
87937,0
11293,0
10723,1
8447,0
21988,0
56205,0
70865,0
27969,0
97552,0
19806,0
66138,0
23833,0
86978,1
74057,0
9584,0
14094,0
73490,0
9767,0
11264,0
66598,0
83375,0
69879,1
9425,0
26332,0
21618,0
63143,0
73825,0
22643,0
9751,0
87755,0
52081,0
50082,0
60387,0
85365,0
13098,0
28010,0
22430,0
90614,0
83169,0
25000,0
28454,0
35014,0
65050,0
35519,0
50210,0
50583,0
3416,0
66631,0
94821,0
84554,0
60375,0
21341,0
70843,0
1827,0
57284,0
9193,0
19996,0
47660,0
98542,0
8766,0
67729,0
24409,0
1812,0
87253,0
1721,0
72348,0
79102,0
28880,0
33296,0
63857,0
9986,0
29618,0
56340,0
90094,0
3346,0
66954,0
65587,0
95988,0
46932,0
12422,0
44955,0
76965,0
32000,0
58748,1
2451,0
88773,0
38,0
84788,0
40339,0
42890,0
36179,0
95352,0
52024,0
8400,0
51392,0
13889,0
79008,0
82314,1
67006,0
28628,0
42506,1
17906,0
76341,0
62680,0
31852,0
28140,0
81502,0
86154,0
30419,0
98262,0
26963,0
56844,0
88465,0
35056,0
43298,0
72596,0
84096,0
59062,0
56439,0
35870,0
15375,0
74393,0
65893,0
21544,0
80373,0
93578,0
26443,0
33607,0
36949,0
34791,0
41022,0
54803,0
37855,0
98708,0
34845,0
28922,0
48979,0
51446,0
53538,0
43063,0
62107,0
94997,0
53720,0
20018,0
27014,0
41279,0
90627,0
55954,0
41706,0
65861,0
14689,0
44835,0
62515,0
49451,0
6292,0
30019,0
6263,1
77340,0
17819,0
55590,0
33324,0
59964,0
24494,1
71630,0
9181,0
32629,0
2249,0
19377,0
57748,0
15012,0
59777,0
22738,0
93416,0
33093,0
76578,0
21783,0
83863,0
38795,1
24925,0
86857,0
26084,0
5301,0
56983,0
6744,0
42936,0
14306,0
95112,0
58700,0
70963,0
19299,0
95550,0
33249,0
64795,0
3707,0
24876,0
17422,0
92714,0
10153,0
78453,0
66836,0
63128,0
10247,1
36292,0
10084,0
81020,0
69466,0
33103,0
31998,0
40646,0
95279,0
25073,0
628,0
87646,0
14665,0
86907,1
87468,0
50815,0
87012,0
47852,0
82504,0
62160,0
66010,0
50381,0
30274,0
94693,0
15988,1
10741,0
67929,0
42556,0
7423,0
16553,0
18246,0
75979,0
13839,0
94217,0
28857,0
38756,0
65315,0
69340,0
8024,0
12454,0
88688,0
54719,0
25544,0
5903,0
97520,0
55552,0
68908,0
63839,1
40123,0
41194,0
78772,0
78877,0
43115,0
71204,0
49444,0
58884,0
46824,0
52221,1
47814,1
76556,0
17499,0
7852,0
33109,0
80896,0
35660,0
53242,0
84295,0
44106,0
84546,0
98896,0
34362,0
33378,0
70763,0
23812,0
74259,0
93126,0
75538,0
95622,0
64095,0
8196,0
46126,0
61071,0
79100,0
48078,1
73844,1
18752,0
93567,0
49120,0
22415,0
50788,0
90794,0
79890,0
8236,1
1231,0
59302,0
80698,0
24897,0
50505,0
13625,0
38152,0
11574,0
50701,0
65035,0
7260,0
81598,0
55652,0
70658,0
30519,0
2006,0
25472,0
57767,0
8310,0
98270,0
3672,1
98901,0
40918,0
25847,0
96659,0
44254,0
13180,0
41174,0
1117,0
48519,0
59304,1
21135,0
58107,0
89826,0
2312,0
7209,0
81528,0
41749,0
17374,0
18601,0
32738,0
65364,0
86457,0
49748,0
65551,0
69151,0
83038,0
58173,0
97002,0
68843,0
6947,0
92835,0
73707,0
91255,0
16395,0
63782,0
84608,0
97731,0
75757,0
48145,0
86001,0
50134,0
13908,0
71266,0
1913,0
16399,0
17172,0
78154,0
31199,0
93648,0
14910,0
10185,0
33094,0
4198,0
46853,0
34113,0
54022,0
3622,0
22324,0
60443,0
27937,0
41593,1
65526,0
27761,0
87274,0
11010,0
22329,0
44642,0
80554,0
60421,0
20144,0
42954,0
18459,0
73061,0
29203,0
1735,0
60319,0
34515,0
6258,0
93007,1
26287,0
42267,0
23327,0
1578,0
80952,0
97986,0
94036,0
37022,0
55057,0
46724,0
63320,0
78389,0
22371,0
38578,1
81282,0
24203,0
27896,0
88600,0
9944,0
81365,0
99081,0
84431,0
16671,0
57476,0
23588,0
17450,0
79737,0
8075,0
60524,0
37064,0
12325,0
59778,0
47739,0
3990,0
88280,1
98882,0
62954,0
9788,0
8479,0
22843,0
17517,0
11784,0
47300,0
85682,0
70839,0
62368,0
68228,0
75064,0
30583,0
11598,0
93925,0
39885,0
76712,0
25961,0
67019,0
90262,1
17789,0
19742,0
44635,0
96170,0
74075,0
92371,0
99835,0
40168,0
84055,0
92707,0
74815,0
67561,0
54672,0
25983,0
67318,0
61369,0
21550,0
20523,0
96932,0
32037,0
21107,0
68324,0
83110,0
28091,0
57054,0
87300,0
906,0
14797,0
76241,0
87301,0
81617,0
95521,0
45514,0
59357,0
26519,0
34653,0
52668,0
40048,0
88577,1
78866,0
49419,0
23149,0
52373,0
21774,0
46469,0
67415,0
84281,0
90219,0
46744,0
62928,0
1230,0
83630,0
25240,0
30689,0
59217,0
72708,0
62985,0
82054,0
5646,0
86768,0
51406,0
4876,0
29790,0
30422,0
75529,0
44223,0
64747,0
96829,0
49244,0
53821,0
77753,1
66267,0
47437,0
27230,0
13405,0
20086,0
93504,0
54902,0
60208,0
16179,0
32009,0
37688,0
68709,0
70633,0
92981,0
72185,0
48830,0
47787,0
4307,0
4732,0
93495,0
46611,0
81344,0
28806,0
91883,0
39205,0
59228,1
52204,1
60506,0
52732,0
16022,0
81613,0
89163,0
64358,0
10534,0
63053,0
79621,0
34518,0
89431,0
28634,0
46262,0
10565,0
62042,0
41516,0
54724,0
84856,0
32836,1
31519,0
32229,0
61784,0
87565,0
47378,0
81234,0
48523,1
68987,0
17649,0
2209,0
63269,0
94938,0
76413,0
60218,0
76109,0
11657,0
45108,1
24018,0
7636,0
35100,0
96930,0
65780,0
98682,0
98946,0
6125,0
23682,0
36451,0
6297,0
52839,0
60136,0
85045,0
25218,0
16023,0
23063,0
71439,0
22851,0
58265,0
44686,0
98082,0
38131,0
39607,0
57695,0
16404,0
94893,0
96739,0
58510,0
98273,0
70217,0
57556,0
20967,0
80766,0
17159,0
327,0
92579,0
28594,0
79085,0
87964,0
87483,0
73098,0
92845,0
52717,0
91911,0
27360,0
23905,0
66455,0
34918,0
16983,0
39498,0
28754,0
8287,0
53348,0
46986,0
58985,0
91080,0
63113,0
64864,0
47421,0
12506,0
85492,0
55847,0
11486,0
34833,0
24390,0
72584,0
5089,0
64764,0
93842,0
37951,0
68141,0
29915,0
20114,0
3178,0
82582,0
55481,0
706,0
4303,0
75683,0
42478,0
20141,0
78648,0
36719,0
51696,0
67984,0
26083,0
38670,0
83646,0
68854,0
56818,0
86424,0
68458,0
31529,0
88437,0
40827,0
99758,0
61090,0
69529,0
67888,0
54149,0
60609,0
34141,0
37112,0
58154,0
42002,1
71708,0
87944,0
93043,0
30187,0
32174,0
85871,0
59092,0
75927,0
65625,0
45782,0
80752,0
13349,0
24515,0
15763,0
43854,0
14545,1
92295,0
6770,0
28072,0
54833,0
18341,0
88493,0
99543,0
85930,0
70060,0
96999,1
37360,0
8537,0
44355,0
5118,0
30391,0
75257,0
17471,0
